Allspeed^1,Allspeed^2,Allspeed^3,Horspeed^1,Horspeed^2,Horspeed^3,VelForwardHand^1,VelForwardHand^2,VelForwardHand^3,VelForwardHead^1,VelForwardHead^2,VelForwardHead^3,HandHeadAngle^1,HandHeadAngle^2,HandHeadAngle^3,VertHandDist^1,VertHandDist^2,VertHandDist^3,HorHandDist^1,HorHandDist^2,HorHandDist^3,HandForwardHead^1,HandForwardHead^2,HandForwardHead^3,HandForward^1,HandForward^2,HandForward^3,States
0.4062227,0.1650169,0.06703359,0.3978336,0.1582716,0.06296576,120.6814,14564.01,1757606,19.70934,388.4579,7656.247,100.0076,10001.53,1000229,0.4615207,0.2130013,0.09830452,0.6646155,0.4417138,0.2935698,127.5173,16260.67,2073516,57.71191,3330.665,192219,0
0.5029938,0.2530027,0.1272588,0.4943203,0.2443526,0.1207884,124.2552,15439.35,1918419,19.33817,373.9647,7231.792,100.744,10149.34,1022485,0.4599521,0.2115559,0.0973056,0.6644294,0.4414664,0.2933232,127.6022,16282.31,2077659,57.19456,3271.218,187095.9,0
0.5127996,0.2629634,0.1348476,0.4997783,0.2497783,0.1248338,119.2241,14214.39,1694697,21.41713,458.6934,9823.895,101.4429,10290.67,1043916,0.4576941,0.2094838,0.09587951,0.6638929,0.4407537,0.2926133,127.6863,16303.8,2081772,56.67773,3212.365,182069.6,0
0.7551844,0.5703035,0.4306843,0.7508739,0.5638117,0.4233515,136.7854,18710.25,2559289,15.70315,246.5888,3872.22,102.902,10588.82,1089611,0.457267,0.2090932,0.09561141,0.6643743,0.4413932,0.2932503,127.9928,16382.17,2096800,56.10929,3148.252,176646.2,0
0.8675857,0.752705,0.6530361,0.8630849,0.7449155,0.6429253,137.3156,18855.56,2589163,15.38184,236.6011,3639.361,103.9252,10800.45,1122439,0.4547515,0.2067989,0.09404211,0.6644036,0.4414321,0.293289,128.3199,16466.01,2112917,55.44504,3074.153,170446.5,0
0.7662445,0.5871306,0.4498856,0.7439877,0.5535178,0.4118104,117.4108,13785.29,1618541,22.62593,511.9326,11582.95,105.041,11033.6,1158980,0.4511545,0.2035404,0.09182815,0.6645452,0.4416203,0.2934766,128.4741,16505.59,2120540,54.62397,2983.778,162985.8,0
0.7579742,0.5745249,0.4354751,0.7275739,0.5293638,0.3851512,116.4866,13569.12,1580621,26.03462,677.8016,17646.31,106.0166,11239.52,1191576,0.4476695,0.200408,0.08971655,0.6639907,0.4408837,0.2927427,128.38,16481.41,2115883,53.81565,2896.125,155856.8,0
0.7409714,0.5490386,0.4068219,0.7153485,0.5117235,0.3660607,124.7074,15551.95,1939444,27.87179,776.8365,21651.82,107.0951,11469.36,1228312,0.4447141,0.1977706,0.08795137,0.662914,0.4394549,0.2913208,128.5108,16515.02,2122359,52.81194,2789.101,147297.8,0
0.417968,0.1746973,0.07301788,0.2276215,0.05181153,0.01179342,97.14907,9437.942,916887.3,116.0636,13470.76,1563465,105.7122,11175.07,1181341,0.435982,0.1900803,0.08287159,0.6572622,0.4319936,0.2839331,127.0644,16145.37,2051502,51.47765,2649.949,136413.1,0
0.404767,0.1638363,0.06631552,0.2185255,0.04775339,0.01043533,97.88226,9580.936,937803.6,113.7791,12945.67,1472946,106.8613,11419.33,1220285,0.4333599,0.1878008,0.08138531,0.6561471,0.4305291,0.2824904,126.9252,16110,2044765,50.40547,2540.711,128065.7,0
0.895656,0.8021997,0.718495,0.8691821,0.7554775,0.6566476,127.3923,16228.79,2067422,28.77124,827.7841,23816.37,108.2321,11714.18,1267850,0.4287786,0.1838511,0.07883144,0.6546344,0.4285462,0.2805411,127.0954,16153.24,2053003,49.474,2447.677,121096.4,0
0.9432999,0.8898148,0.8393623,0.9111024,0.8301075,0.7563129,121.1631,14680.5,1778734,27.35715,748.4139,20474.47,109.5147,11993.47,1313462,0.4252131,0.1808062,0.07688116,0.6555977,0.4298083,0.2817813,127.2876,16202.12,2062329,48.3657,2339.24,113139,0
0.937617,0.8791257,0.8242832,0.9095566,0.8272932,0.7524699,124.7026,15550.74,1939218,28.05478,787.0709,22081.1,110.8871,12295.96,1363464,0.4211881,0.1773994,0.07471853,0.6538557,0.4275273,0.2795412,127.2571,16194.36,2060846,47.24311,2231.911,105442.4,0
0.9687499,0.9384763,0.9091488,0.9411982,0.8858541,0.8337643,131.9215,17403.29,2295869,33.53342,1124.491,37708.02,112.2423,12598.32,1414064,0.4175684,0.1743634,0.07280865,0.6516126,0.424599,0.2766741,127.3902,16228.27,2067323,45.76117,2094.085,95827.79,0
0.9647281,0.9307002,0.8978726,0.9405828,0.884696,0.8321299,133.9479,17942.03,2403297,34.44032,1186.136,40850.89,113.6194,12909.37,1466754,0.4140403,0.1714294,0.07097868,0.6497903,0.4222274,0.2743593,127.4482,16243.04,2070145,44.35313,1967.2,87251.46,0
0.9959621,0.9919406,0.9879353,0.9712398,0.9433067,0.9161771,133.5459,17834.5,2381725,34.89995,1218.006,42508.36,115.0793,13243.23,1524022,0.4102159,0.168277,0.06902991,0.6479142,0.4197929,0.2719898,127.4459,16242.47,2070037,43.21143,1867.227,80685.55,0
1.066912,1.138301,1.214467,1.040833,1.083333,1.127568,133.6908,17873.24,2389489,35.93599,1291.396,46407.58,116.6702,13611.94,1588108,0.4062235,0.1650176,0.06703401,0.6459996,0.4173155,0.2695856,127.5727,16274.81,2076222,42.02553,1766.145,74223.18,0
